Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Adolfo Alsina, RÍO NEGRO;2,620,000;1,390,000;8,880,000;14;15.12;11.85;63;55;-97;-97;59;51;Adolfo Alsina;RÍO NEGRO;jun-24
General Lamadrid, BUENOS AIRES;977;3,49;220;12.91;13.20;14.64;65;65;-101;-92;62;61;General Lamadrid;BUENOS AIRES;jun-24
Berón de Astrada, CORRIENTES;383;289;427;12.87;13.38;7.01;71;71;-101;-101;66;66;Berón de Astrada;CORRIENTES;jun-24
Santa Rosa, MENDOZA;1,540,000;889;13,8;10.92;15.86;10.39;82;70;-105;-101;80;64;Santa Rosa;MENDOZA;jun-24
Chacabuco, CHACO;570;5,310,000;1,35;15.55;11.16;16.86;70;64;-99;-97;66;62;Chacabuco;CHACO;jun-24
Angaco, SAN JUAN;377;146;84,9;15.92;6.81;11.43;68;68;-99;-99;63;63;Angaco;SAN JUAN;jun-24
Santa María, CÓRDOBA;18,300,000;19,600,000;1,830,000;13.65;16.51;11.76;62;53;-100;-97;61;53;Santa María;CÓRDOBA;jun-24
Salavina, SANTIAGO DEL ESTERO;1,54;1,960,000;--;8.05;14.15;--;87;64;-90;-90;88;59;Salavina;SANTIAGO DEL ESTERO;jun-24
Patagones, BUENOS AIRES;2,210,000;544;3,160,000;15.67;18.75;12.67;63;53;-100;-99;58;49;Patagones;BUENOS AIRES;jun-24
Pocho, CÓRDOBA;29,5;1,090,000;245;15.06;16.64;--;56;51;-100;-92;53;52;Pocho;CÓRDOBA;jun-24
Ayacucho, BUENOS AIRES;2,120,000;394;894;12.63;16.35;12.08;75;62;-100;-97;72;58;Ayacucho;BUENOS AIRES;jun-24
General Belgrano, CHACO;120;1,120,000;3,28;14.11;13.70;14.02;73;60;-104;-98;67;60;General Belgrano;CHACO;jun-24
Silípica, SANTIAGO DEL ESTERO;96,5;583;436;14.44;14.25;8.13;61;61;-101;-98;54;54;Silípica;SANTIAGO DEL ESTERO;jun-24
General San Martín, BUENOS AIRES;21,700,000;32,500,000;30,700,000;14.85;16.79;12.38;51;48;-99;-97;49;46;General San Martín;BUENOS AIRES;jun-24
Guaminí, BUENOS AIRES;1,490,000;236;897;16.31;18.39;15.30;59;57;-99;-95;54;52;Guaminí;BUENOS AIRES;jun-24
Maracó, LA PAMPA;6,150,000;601;4,680,000;15.81;17.41;14.09;60;57;-99;-99;57;53;Maracó;LA PAMPA;jun-24
Tilcara, JUJUY;483;3,430,000;7,97;4.33;8.80;5.18;96;86;-103;-95;121;97;Tilcara;JUJUY;jun-24
Rosario Vera Peñaloza, LA RIOJA;82;1,230,000;264;1.54;20.23;--;946;56;-89;-89;919;50;Rosario Vera Peñaloza;LA RIOJA;jun-24
Conesa, RÍO NEGRO;283;89;979;14.95;16.50;12.41;60;60;-93;-91;54;54;Conesa;RÍO NEGRO;jun-24
Andalgalá, CATAMARCA;337;4,340,000;517;18.55;13.26;2.78;63;63;-100;-100;54;54;Andalgalá;CATAMARCA;jun-24
Tafí Viejo, TUCUMÁN;10,500,000;18,900,000;2,310,000;13.95;15.31;8.72;68;59;-99;-99;64;59;Tafí Viejo;TUCUMÁN;jun-24
